TARGET_FID_12_13,Full_sesti,Codice_1
403,CN331,GERE
403,CN330,GERE
404,CN333,GERE
404,CN334,GERE
404,CN275,GERE
408,CN1509A,LEON
408,CN1510,LEON
408,CN1511,LEON
408,CN1509,LEON
409,CN1513,LEON
409,CN1512,LEON
410,CN1517,LEON
410,CN1515,LEON
410,CN1514,LEON
410,CN1518,LEON
410,CN1516,LEON
411,CN1533,LEON
412,CN1532,LEON
412,CN1531,LEON
413,CN1526,LEON
413,CN1525,LEON
414,CN1523A,LEON
414,CN1523C,LEON
414,CN1524,LEON
414,CN1523,LEON
414,CN1522,LEON
414,CN1521,LEON
415,CN1537,LEON
415,CN1539,LEON
415,CN1538,LEON
416,CN1536,LEON
416,CN1536A,LEON
417,CN1534,LEON
417,CN1535A,LEON
417,CN1535,LEON
418,CN1546,LEON
419,CN1548,LEON
421,CN1552A,LEON
421,CN1551,LEON
422,CN1557A,LEON
422,CN1565,LEON
422,CN1557,LEON
423,CN1558,LEON
423,CN1563A,LEON
423,CN1564,LEON
423,CN1563,LEON
423,CN1558A,LEON
425,CN1566D,LEON
425,CN1566C,LEON
426,CN1566E,LEON
427,CN1575,LEON
427,CN1574,LEON
428,CN1573A,LEON
428,CN1573,LEON
428,CN1573B,LEON
429,CN1584,LEON
430,CN1585,LEON
431,CN1586,LEON
431,CN1586A,LEON
432,CN1589,LEON
432,CN1588,LEON
432,CN1590,LEON
432,CN1587,LEON
433,CN1594,LEON
433,CN1595,LEON
433,CN1593,LEON
433,CN1592,LEON
433,CN1591,LEON
433,CN1591A,LEON
434,CN1597,LEON
434,CN1596,LEON
435,CN1603A,LEON
436,CN1606,LEON
436,CN1605,LEON
436,CN1604,LEON
437,CN1608,LEON
437,CN1607,LEON
439,CN1626,LEON
439,CN1626A,LEON
440,CN1582,LEON
440,CN1581,LEON
441,CN1580A,LEON
441,CN1580,LEON
441,CN1580B,LEON
441,CN1579,LEON
442,CN1631A,LEON
442,CN1577,LEON
443,CN1578,LEON
443,CN1630,LEON
443,CN1629,LEON
444,CN1628,LEON
444,CN1627,LEON
445,CN1626B,LEON
445,CN1626C,LEON
448,SC1307,ZAND
453,SC1321,ZAND
453,SC1320,ZAND
454,SC1324,ZAND
454,SC1323,ZAND
455,CN252A,GERE
455,CN253C,GERE
455,CN252,GERE
456,CN246,GERE
457,CN248A,GERE
457,CN249A,GERE
457,CN249,GERE
457,CN250,GERE
458,CN234,GERE
458,CN240,GERE
458,CN241,GERE
462,CN250A,GERE
467,CN185,GERE
467,CN182,GERE
467,CN184,GERE
467,CN183,GERE
468,CN181,GERE
469,CN179,GERE
469,CN196,GERE
469,CN180,GERE
470,CN166,GERE
470,CN167A,GERE
470,CN167,GERE
470,CN170,GERE
470,CN172,GERE
470,CN170A,GERE
470,CN171,GERE
471,CN165,GERE
471,CN165A,GERE
472,CN134A,GERE
472,CN135,GERE
474,CN138,GERE
476,CN149,GERE
476,CN150,GERE
476,CN150A,GERE
481,CN116,GERE
481,CN116C,GERE
483,CN118,GERE
483,CN117,GERE
483,CN119A,GERE
483,CN119,GERE
485,CN120,GERE
485,CN123,GERE
485,CN121,GERE
485,CN123A,GERE
487,CN128,GERE
487,CN127,GERE
488,CN129,GERE
488,CN130,GERE
489,CN132,GERE
489,CN133,GERE
489,CN131,GERE
489,CN370,GERE
489,CN368,GERE
489,CN368A,GERE
489,CN369,GERE
498,SC1303C,ZAND
498,SC1303,ZAND
498,SC1302B,ZAND
499,SC1301,ZAND
499,SC1300,ZAND
499,SC1302A,ZAND
506,CN1555,LEON
506,CN1556,LEON
507,CN1560A,LEON
510,CN1599,LEON
510,CN1598,LEON
515,CN2975,LEON
517,CN1974,LEON
517,CN1975,LEON
517,CN1975A,LEON
517,CN1975B,LEON
517,CN1973,LEON
517,CN1972,LEON
518,CN387A,GERE
519,CN2976,LEON
519,CN2976C,LEON
519,CN2976B,LEON
519,CN2976A,LEON
520,CN1824,LEON
520,CN1825,LEON
521,CN888,LEON
521,CN888B,LEON
521,CN888A,LEON
523,CN1822,LEON
523,CN1823,LEON
524,CN890,LEON
524,CN889,LEON
529,CN1834,LEON
529,CN1833,LEON
529,CN1830,LEON
529,CN1828,LEON
529,CN1831,LEON
529,CN1832,LEON
529,CN1835,LEON
530,CN891,LEON
531,CN916D,LEON
531,CN916G,LEON
531,CN916F,LEON
531,CN916A,LEON
531,CN916L,LEON
531,CN916I,LEON
531,CN916C,LEON
531,CN916B,LEON
531,CN916E,LEON
531,CN916H,LEON
532,CN894,LEON
533,CN900A,LEON
533,CN901,LEON
534,CN899,LEON
535,CN896,LEON
536,CN908,LEON
536,CN897,LEON
536,CN906,LEON
536,CN907,LEON
536,CN898,LEON
537,CN902,LEON
538,CN915H,LEON
538,CN915I,LEON
538,CN915F,LEON
538,CN915D,LEON
538,CN915E,LEON
538,CN915C,LEON
538,CN915G,LEON
539,CN905A,LEON
539,CN905,LEON
539,CN904,LEON
539,CN904A,LEON
541,CN912,LEON
541,CN912A,LEON
541,CN912B,LEON
542,CN915,LEON
542,CN914,LEON
544,CN910,LEON
544,CN911,LEON
545,CN921,LEON
545,CN923,LEON
547,CN924,LEON
548,CN925,LEON
550,CN679,MACE
551,CN680,MACE
552,CN718,MACE
553,CN717,MACE
553,CN716,MACE
557,CN2974C,LEON
558,CN917C,LEON
559,CN917,LEON
560,CN920A,LEON
561,CN688,MACE
562,CN684,MACE
562,CN683A,MACE
562,CN683,MACE
562,CN685,MACE
562,CN689,MACE
564,CN690,MACE
564,CN691,MACE
564,CN701,MACE
565,CN697,MACE
565,CN693,MACE
565,CN692,MACE
565,CN704,MACE
565,CN694,MACE
565,CN696,MACE
565,CN703,MACE
565,CN702,MACE
566,CN909,LEON
567,CN2974D,LEON
569,CN895,LEON
584,CN3009H,GIRO
589,CN3009I,GIRO
603,CN3008A,GIRO
606,CN2980A,LEON
606,CN2980C,LEON
606,CN2980D,LEON
606,CN2980,LEON
606,CN2980B,LEON
607,CN3009G,GIRO
607,CN3009C,GIRO
611,CN3009D,GIRO
612,CN3009E,GIRO
613,CN3015E,GIRO
614,CN3018A,GIRO
614,CN3018D,GIRO
614,CN3018C,GIRO
614,CN3018B,GIRO
616,CN3011,GIRO
617,CN3013,GIRO
617,CN3012,GIRO
617,CN3014B,GIRO
618,CN3017,GIRO
618,CN3018,GIRO
619,CN3021,GIRO
619,CN3022B,GIRO
621,CN3022A,GIRO
621,CN3022,GIRO
624,CN3023,GIRO
624,CN3024,GIRO
624,CN3023A,GIRO
624,CN3024A,GIRO
625,CN3025B,GIRO
625,CN3025,GIRO
625,CN3025A,GIRO
626,CN2971I,CHIO
626,CN2971F,CHIO
626,CN2971G,CHIO
626,CN2971H,CHIO
627,CN2971O,CHIO
628,CN2971Q,CHIO
628,CN2971P,CHIO
628,CN2971R,CHIO
629,CN2949C,CHIO
629,CN2949B,CHIO
630,CN2971D,CHIO
630,CN2971S,CHIO
630,CN2971E,CHIO
631,CN2971B,CHIO
631,CN2971C,CHIO
632,CN2951C,CHIO
632,CN2951,CHIO
632,CN2951D,CHIO
