TARGET_FID_12_13,Join_Count,TARGET_FID_1,Full_sesti,Codice_1
14670,1,47585,CS2300,MRTN
14670,1,77573,CS2299,MRTN
14671,1,42579,DD2226,MART
14672,1,47581,CS2304,MRTN
14672,1,47580,CS2303,MRTN
14672,1,47584,CS2301,MRTN
14673,1,79363,SP583,SILV
14673,1,79365,SP584,SILV
14673,1,79366,SP585,SILV
14674,1,71480,CS2386,MRTN
14675,1,65690,DD2226A,MART
14676,1,79368,SP586,SILV
14676,1,79372,SP589,SILV
14676,1,79370,SP588,SILV
14676,1,36527,SP587,SILV
14677,1,47567,CS2385,MRTN
14677,1,77565,CS2371,MRTN
14678,1,42580,DD2226B,MART
14679,1,75504,CS3791,BRAG
14679,1,47800,CS3790,BRAG
14680,2,75916,SP542A,SILV
14680,2,73591,SP542,SILV
14680,2,73607,SP543,SILV
14680,2,36563,SP545,SILV
14680,2,36562,SP544,SILV
14681,1,44946,DD2324A,NICO
14681,1,44948,DD2324,NICO
14682,1,47715,CS3542,BRAG
14682,1,47716,CS3542B,BRAG
14682,1,47713,CS3541A,BRAG
14682,1,47712,CS3541,BRAG
14682,1,47718,CS3543,BRAG
14682,1,78852,CS3542A,BRAG
14683,1,73599,SP541O,SILV
14683,1,73601,SP541P,SILV
14683,1,36564,SP546,SILV
14683,1,36565,SP547,SILV
14684,2,44950,DD2302,NICO
14684,2,44952,DD2301C,NICO
14685,1,47848,CS3546,BRAG
14685,1,47847,CS3546B,BRAG
14685,1,83641,CS3544,BRAG
14685,1,47851,CS3545,BRAG
14685,1,47846,CS3546A,BRAG
14685,1,47845,CS3547,BRAG
14686,1,78528,SP541M,SILV
14686,1,36566,SP548,SILV
14686,1,78531,SP541N,SILV
14687,1,44966,DD2283,NICO
14687,1,44968,DD2282,NICO
14688,1,37895,SP550,SILV
14688,1,77098,SP541I,SILV
14688,1,36567,SP549,SILV
14688,1,77462,SP541C,SILV
14689,1,47817,CS4141,BRAG
14689,1,47819,CS4143,BRAG
14689,1,47818,CS4142,BRAG
14690,1,44970,DD2281,NICO
14691,2,73582,SP562,SILV
14691,2,72740,SP562A,SILV
14691,2,78522,SP555,SILV
14692,1,48179,CS3245,BRAG
14692,1,48183,CS3246,BRAG
14694,2,73595,SP557,SILV
14694,2,36537,SP561C,SILV
14694,2,36536,SP561,SILV
14694,2,36538,SP561D,SILV
14694,2,36559,SP559,SILV
14694,2,73597,SP558,SILV
14694,2,73593,SP556,SILV
14694,2,75908,SP561A,SILV
14694,2,73579,SP561B,SILV
14694,2,76567,SP560,SILV
14695,1,78811,CS3235,BRAG
14695,1,46515,CS3236,BRAG
14697,1,36512,SP638,SILV
14697,1,36511,SP637,SILV
14697,1,81418,SP639,SILV
14698,2,78224,CS2920,BRAG
14698,2,46550,CS2923,BRAG
14698,2,78221,CS2919,BRAG
14700,1,36485,SP740,SILV
14700,1,81360,SP676A,SILV
14700,1,81357,SP676,SILV
14700,1,36484,SP741,SILV
14700,1,36486,SP676B,SILV
14701,1,47933,CS4152,LORE
14701,1,47934,CS4153,LORE
14701,1,47932,CS4151,LORE
14701,1,47935,CS4154,LORE
14702,1,42391,DD2403C,NICO
14702,1,42392,DD2403A,NICO
14703,1,36487,SP677,SILV
14703,1,36491,SP678B,SILV
14703,1,36489,SP678,SILV
14703,1,81364,SP680,SILV
14703,1,36488,SP677A,SILV
14703,1,36492,SP679,SILV
14703,1,36490,SP678A,SILV
14704,1,49151,CS4971,ZACC
14704,1,49147,CS4970,ZACC
14704,1,48519,CS4969,ZACC
14704,1,49155,CS4972,ZACC
14705,1,42393,DD2403B,NICO
14705,1,42394,DD2403H,NICO
14706,1,81294,SP706,SILV
14706,1,36295,SP707,SILV
14707,1,48507,CS4967,ZACC
14707,1,48511,CS4968,ZACC
14707,1,48515,CS4968A,ZACC
14708,1,41588,DD2476B,CERE
14708,1,41592,DD2494,CERE
14709,1,81298,SP703,SILV
14709,1,36296,SP705,SILV
14709,1,74641,SP704,SILV
14710,2,48450,CS4711,ZACC
14710,2,48442,CS4709,ZACC
14710,2,83513,CS4712,ZACC
14710,2,48446,CS4710,ZACC
14711,1,41596,DD2494B,CERE
14711,1,40623,DD2495,CERE
14712,1,36298,SP702A,SILV
14712,1,36299,SP701A,SILV
14712,1,36297,SP702,SILV
14713,1,49370,CS5016,SEVE
14713,1,49373,CS5016A,SEVE
14713,1,49376,CS5016B,SEVE
14714,1,40626,DD2496,CERE
14715,2,74644,SP694,SILV
14715,2,36342,SP696A,SILV
14715,2,74646,SP693,SILV
14715,2,36343,SP695A,SILV
14715,2,80636,SP695,SILV
14716,1,49358,CS5011,SEVE
14717,1,40703,DD2496A,CERE
14717,1,40700,DD2497,CERE
