short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
LEON-457, ,3.69,30.1,none,2
LEON-458, ,3.65,21.68,none,2
LEON-459,fa,9.74,73.26,"CN1429, CN1429A, CN1430",4
LEON-460,B1,3.72,57.09,none,2
LEON-461,fa,0.0,70.34,"CN1427, CN1428",1
LEON-462,C,13.62,356.86,"CN1399, CN1400, CN1401, CN1402, CN1403, CN1404, CN1406",5
LEON-463,fa,12.68,116.92,none,5
LEON-464, ,18.12,154.7,"CN1425, CN1425A, CN1426, CN1426B",7
LEON-465,B,12.77,125.34,"CN1407, CN1408, CN1409, CN1410",5
LEON-466,C,14.98,103.11,CN1424,5
LEON-467,A1,12.1,202.99,"CN1411, CN1412",5
LEON-468,fa,12.5,334.51,none,5
